State,Abbrev,Code,Value
Alabama,Ala.,AL,Undecided
Alaska,Alaska,AK,Undecided
Arizona,Ariz.,AZ,Undecided
Arkansas,Ark.,AR,Undecided
California,Calif.,CA,Undecided
Colorado,Colo.,CO,Undecided
Connecticut,Conn.,CT,Undecided
Delaware,Del.,DE,Undecided
District of Columbia,D.C.,DC,Undecided
Florida,Fla.,FL,Undecided
Georgia,Ga.,GA,Undecided
Hawaii,Hawaii,HI,Undecided
Idaho,Idaho,ID,Undecided
Illinois,Ill.,IL,Undecided
Indiana,Ind.,IN,Undecided
Iowa,Iowa,IA,Undecided
Kansas,Kans.,KS,Undecided
Kentucky,Ky.,KY,Undecided
Louisiana,La.,LA,Undecided
Maine,Maine,ME,Undecided
Maryland,Md.,MD,Undecided
Massachusetts,Mass.,MA,Undecided
Michigan,Mich.,MI,Undecided
Minnesota,Minn.,MN,Undecided
Mississippi,Miss.,MS,Undecided
Missouri,Mo.,MO,Undecided
Montana,Mont.,MT,Undecided
Nebraska,Nebr.,NE,Undecided
Nevada,Nev.,NV,Undecided
New Hampshire,N.H.,NH,Undecided
New Jersey,N.J.,NJ,Undecided
New Mexico,N.M.,NM,Undecided
New York,N.Y.,NY,Undecided
North Carolina,N.C.,NC,Undecided
North Dakota,N.D.,ND,Undecided
Ohio,Ohio,OH,Undecided
Oklahoma,Okla.,OK,Undecided
Oregon,Ore.,OR,Undecided
Pennsylvania,Pa.,PA,Undecided
Rhode Island,R.I.,RI,Undecided
South Carolina,S.C.,SC,Undecided
South Dakota,S.D.,SD,Undecided
Tennessee,Tenn.,TN,Undecided
Texas,Tex.,TX,Undecided
Utah,Utah,UT,Undecided
Vermont,Vt.,VT,Undecided
Virginia,Va.,VA,Undecided
Washington,Wash.,WA,Undecided
West Virginia,W.Va.,WV,Undecided
Wisconsin,Wis.,WI,Undecided
Wyoming,Wyo.,WY,Undecided